stock_receipt_id,item_number,stock_item_description,stock_item_spec,oem_model_no,oem_part_no,subinventory,locator,lot_number,receipt_number,receipt_date,po_number,quantity,uom,locator_segment1,locator_segment2,locator_segment3,locator_segment4,locator_segment5,locator_segment6,locator_segment7,locator_segment8,created_by,creation_date,last_updated_by,last_update_date
1,"2622I06541430210","T24095165 ","Bellow T24095165","","","","01B0407B102","","2622090052894",21/10/2020 00:00:00,"2622040030429",6,"Each","2622","01B","4","7","B","102","","",,,,
2,"2622I06611602040","B338 ","Hub Cup B338 brand York for Chs ex China","","","","01B0502A404","","2622090052891",21/10/2020 00:00:00,"2622040030167",3,"piece","2622","01B","5","2","A","404","","",,,,
3,"2622I06472399620","9239762805","High Pressure Filter 923976.2805","","","","01B0102B106","","2622090052687",07/10/2020 00:00:00,"2622040030342",3,"pack","2622","01B","1","2","B","106","","",,,,
4,"2622I06471399411","HF6320 ","Hydraulic Filter HF6320. Part Type: Hydraulic. Cartridge part catalog 921097.0001. brand Fleetguard (Gear box filter PN.921097.0001)","","","","01B0102B206","","2622090052673",07/10/2020 00:00:00,"2622040030343",3,"Each","2622","01B","1","2","B","206","","",,,,
5,"2622I06181232040","265 X 330 X 50 ","Hoist Rope Support Roller, Inner ¢ 265 mm x Outer ¢ 330 mm x Lebar 50 mm, Material : (Teflon Hitam), QCC Doozan","","","","01D0802B105","","2622090052905",21/10/2020 00:00:00,"2622040030396",16,"piece","2622","01D","8","2","B","105","","",,,,
6,"2622I06141199090","Rope dia 18mm ","Rubber Rope diameter 18mm product WAMPFLER","","","","01D0805A106","","2622090052697",08/10/2020 00:00:00,"2622040029978",150,"Meter","2622","01D","8","5","A","106","","",,,,
7,"2622I06151199140","Roller 63 Material Polyurethane local product ","Roller 63 Material Polyurethane local product","","","","01B0705B202","","2622090052695",08/10/2020 00:00:00,"2622040030275",20,"piece","2622","01B","7","5","B","202","","",,,,
8,"2622I06537311240","YM-3/4  Hose ","Hose YM-3/4  for Compressor Cummins QSB6.7 Ottawa kalmar","","","","01B0607C102","","2622090052867",19/10/2020 00:00:00,"2622040030310",6,"piece","2622","01B","6","7","C","102","","",,,,
9,"2622I06232398100","V-Belt 1560 ","V-Belt 12 PK-1560 Brand Bando RIB ACE u/ Radiator","","","","01B0802B105","","2622090052857",19/10/2020 00:00:00,"2622040030409",2,"piece","2622","01B","8","2","B","105","","",,,,
10,"2622I06541220230","T12024924 ","Water hose T12024924 for radiator engine CAT C6.6. HT Terberg","","","","01B0803A103","","2622090052895",21/10/2020 00:00:00,"2622040030425",2,"pack","2622","01B","8","3","A","103","","",,,,
11,"2622I06537221090","6I-0233 ","Nut (M12 x 75-THD) 6I-0233","","","","01B0203A501","","2622090052684",07/10/2020 00:00:00,"2622040030289",8,"piece","2622","01B","2","3","A","501","","",,,,
12,"2622I06541244490","126-3216 ","Stud 126-3216, for HT Terberg","","","","01B0203A501","","2622090052684",07/10/2020 00:00:00,"2622040030289",8,"piece","2622","01B","2","3","A","501","","",,,,
13,"2622I06541233050","336-8178 ","Tube Fuel Line No. 5","","","","01B0203B105","","2622090052665",06/10/2020 00:00:00,"2622040030346",3,"piece","2622","01B","2","3","B","105","","",,,,
14,"2622I06473204020","9209810034","Rim 920981.0034 for Kalmar DRF450-60S5K","","","","01F0102A102","","2622090052661",06/10/2020 00:00:00,"2622040030323",2,"pack","2622","01F","1","2","A","102","","",,,,
15,"2622I06537217010","90003920","Tie Rod end LH P/N 90003920 Ottawa Kalmar","","","","01B0403A206","","2622090052663",06/10/2020 00:00:00,"2622040030320",2,"piece","2622","01B","4","3","A","206","","",,,,
16,"2622I06537101470","2881804","Pump Water 2881804 for HT Kalmar","","","","01B0403B102","","2622090052663",06/10/2020 00:00:00,"2622040030320",1,"piece","2622","01B","4","3","B","102","","",,,,
17,"2622I06282157070","3RT1054-1AP36+3RT1956-1CD00 ","Contactor 3RT1054-1AP36+3RT1956-1CD00+3RT1956-4EA1(2PCS) 94A For. GANTRY AC MAIN. brand Siemens","","","","01E0303B102","","2622090052693",08/10/2020 00:00:00,"2622040030329",1,"Unit","2622","01E","3","3","B","102","","",,,,
18,"2622I06541220040","T14025202 ","Flex Pipe T14025202","","","","01D0405B102","","2622090052890",21/10/2020 00:00:00,"2622040030426",2,"pack","2622","01D","4","5","B","102","","",,,,
