PAJAK_LINE_ID;BULAN_PAJAK;TAHUN_PAJAK;KODE_CABANG;NAMA_WP;NPWP;ALAMAT_WP;KODE_PAJAK;DPP;TARIF
77898;3;2017;000;"PT SAMUEL RENO TRAVEL";;"Jalan Jembatan Batu No. 82-83 Pinangsia Jakarta Barat, DKI Jakarta";;6666;
77897;3;2017;000;"TELEKOMUNIKASI INDONESIA, PT";03.181.209.3-000;"JL YOS SUDARSO NO. 23-24, JAKARTA 14230";"BKL PSL23-01";18000000;15
77896;3;2017;000;"TELEKOMUNIKASI INDONESIA, PT";03.181.209.3-000;"JL YOS SUDARSO NO. 23-24, JAKARTA 14230";;;
77895;3;2017;000;"ASTRA GRAPHIA, PT";01.723.619.1.305.000;"KEM TOWER LT. 11 JL. LANDASAN PACU BARAT BLOK B10 KAV. NO.2 JAKARTA 10610";;;
77894;3;2017;000;"ASTRA GRAPHIA, PT";01.723.619.1.305.000;"KEM TOWER LT. 11 JL. LANDASAN PACU BARAT BLOK B10 KAV. NO.2 JAKARTA 10610";;;
77893;3;2017;000;"ASTRA GRAPHIA, PT";01.723.619.1.305.000;"KEM TOWER LT. 11 JL. LANDASAN PACU BARAT BLOK B10 KAV. NO.2 JAKARTA 10610";;;
77892;3;2017;000;"ASTRA GRAPHIA, PT";01.723.619.1.305.000;"KEM TOWER LT. 11 JL. LANDASAN PACU BARAT BLOK B10 KAV. NO.2 JAKARTA 10610";;;
77891;3;2017;000;"DELIGHT BUSINESS & PRINTING";01.723.619.1.305.000;"JL. PROF. DR. SOEPOMO RT 06/ 04 NO. 27 BUARAN INDAH";;;
77890;3;2017;000;"DELIGHT BUSINESS & PRINTING";01.723.619.1.305.000;"JL. PROF. DR. SOEPOMO RT 06/ 04 NO. 27 BUARAN INDAH";;;
77889;3;2017;000;"ORCHID GRIYA NUTRISI";03.276.307.0-093.000;"Jl. Kramat Jaya I, Kel. Tugu Utara, Kec. Koja Jakarta Utara 14260";;;
77888;3;2017;000;"ORCHID GRIYA NUTRISI";03.276.307.0-093.000;"Jl. Kramat Jaya I, Kel. Tugu Utara, Kec. Koja Jakarta Utara 14260";;;
