PAJAK_LINE_ID;BULAN_PAJAK;TAHUN_PAJAK;KODE_CABANG;NAMA_WP;NPWP;ALAMAT_WP;KODE_PAJAK;DPP;TARIF
44321;2;2017;000;"YAYASAN PENDIDIKAN INTERNAL AUDIT (YPIA)";03.276.307.0-093.000;"Graha Sucofindo Lt.3";;;
44319;2;2017;000;"DEKATAMA CENTRA PT.";03.276.307.0-093.000;"JALAN MEKAR MULIA NO. 33";;12;0
44317;2;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;0;0
44315;2;2017;000;"Mandiri Sekuritas";;"Jl. Jendral Gatot Subroto";;0;0
44313;2;2017;000;"YAYASAN PENDIDIKAN INTERNAL AUDIT (YPIA)";03.276.307.0-093.000;"Graha Sucofindo Lt.3";;0;0
44311;2;2017;000;"YAYASAN PENDIDIKAN INTERNAL AUDIT (YPIA)";03.276.307.0-093.000;"Graha Sucofindo Lt.3";;0;0
44309;2;2017;000;"YAYASAN PENDIDIKAN INTERNAL AUDIT (YPIA)";03.276.307.0-093.000;"Graha Sucofindo Lt.3";;0;0
44307;2;2017;000;"YAYASAN PENDIDIKAN INTERNAL AUDIT (YPIA)";03.276.307.0-093.000;"Graha Sucofindo Lt.3";;0;0
44305;2;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;0;0
44303;2;2017;000;"MITRA INTEGRASI INFORMATIKA, PT";01.723.619.1.305.000;"APL TOWER, 37th Floor, Suite 1 - 8 Jl. Letjend S.Parman Kav. 28";;0;0
44301;2;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;0;0
44299;2;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;0;0
44297;2;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;0;0
44295;2;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;0;0
44293;2;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;0;0
44291;2;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;0;0
44289;2;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;0;0
44287;2;2017;000;"BIRO STRATEGI PERUSAHAAN";03.276.307.0-093.000;"Jl.Pasoso No.1";;0;0
44285;2;2017;000;"ITENAS (NATIONAL INSTITUTE OF TECHNOLOGY/2D & 3D PLAXIS COURSE)";;"JL. P.K.H. HASAN MUSTAFA NO.23";;0;0
44283;2;2017;000;"TRIKATA ESA KARSA";02.752.081.6-064.000;"JL.WIJAYA 1 NO 73 LANTAI 2";;0;0
