PAJAK_LINE_ID;BULAN_PAJAK;TAHUN_PAJAK;KODE_CABANG;NAMA_WP;NPWP;ALAMAT_WP;KODE_PAJAK;DPP;TARIF
45479;1;2017;000;"JASA TRANS UTAMA TEST, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45478;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45477;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45476;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45475;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45474;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45473;1;2017;000;"KOPEGMAR TANJUNG PRIOK";03.276.307.0-093.000;"JL. CEMPAKA NO. 14 RT 004/012";;;
45472;1;2017;000;"KOPEGMAR TANJUNG PRIOK";03.276.307.0-093.000;"JL. CEMPAKA NO. 14 RT 004/012";;;
45471;1;2017;000;"KOPEGMAR TANJUNG PRIOK";03.276.307.0-093.000;"JL. CEMPAKA NO. 14 RT 004/012";;;
45470;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45469;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45468;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45467;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45466;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45465;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45464;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45463;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45462;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45461;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45460;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45459;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45458;1;2017;000;"HERU WIDODO (265115837";03.276.307.0-093.000;"KANTOR PUSAT";;;
45457;1;2017;000;"HERU WIDODO (265115837";03.276.307.0-093.000;"KANTOR PUSAT";;;
45456;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45455;1;2017;000;"RUMAH SAKIT PELABUHAN JAKARTA..";01.723.619.1.305.000;"Jl. Kramat raya No.";;;
45454;1;2017;000;"RUMAH SAKIT PELABUHAN JAKARTA..";01.723.619.1.305.000;"Jl. Kramat raya No.";;;
45453;1;2017;000;"RUMAH SAKIT PELABUHAN JAKARTA..";01.723.619.1.305.000;"Jl. Kramat raya No.";;;
45452;1;2017;000;"RUMAH SAKIT PELABUHAN JAKARTA..";01.723.619.1.305.000;"Jl. Kramat raya No.";;;
45451;1;2017;000;"RS. PORT MEDICAL CENTER";01.466.654.9-091.000;"Jl. Enggano No.10 Tanjung Priok";;;
45450;1;2017;000;"HERU WIDODO (265115837";03.276.307.0-093.000;"KANTOR PUSAT";;;
45449;1;2017;000;"HERU WIDODO (265115837";03.276.307.0-093.000;"KANTOR PUSAT";;;
45448;1;2017;000;"LEMBAGA PUSAT PENGKAJIAN KEPEMIMPINAN DAN ETIKA PEMERINTAHAN (LP2KEP)";;"JL.PAHLAWAN REVOLUSI NO.7 PONDOK BAMBU";;;
45447;1;2017;000;"HERU WIDODO (265115837";03.276.307.0-093.000;"KANTOR PUSAT";;;
45446;1;2017;000;"HERU WIDODO (265115837";03.276.307.0-093.000;"KANTOR PUSAT";;;
45445;1;2017;000;"HERU WIDODO (265115837";03.276.307.0-093.000;"KANTOR PUSAT";;;
45444;1;2017;000;"DEKATAMA CENTRA PT.";03.276.307.0-093.000;"JALAN MEKAR MULIA NO. 33";;;
45443;1;2017;000;"HERU WIDODO (265115837";03.276.307.0-093.000;"KANTOR PUSAT";;;
45442;1;2017;000;"HERU WIDODO (265115837";03.276.307.0-093.000;"KANTOR PUSAT";;;
45441;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45440;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45439;1;2017;000;"JASA TRANS UTAMA, PT";03.276.307.0-093.000;"Jl. Bugis Raya No. 25 Kebon Bawang, Tanjung Priok Jakarta Utara";;;
45438;1;2017;000;"PT. MEGA NILAI CIPTA";;"JL. BAUNG IV NO.36 A KEBAGUSAN";;;
45437;1;2017;000;"ERNST & YOUNG.";03.276.307.0-093.000;JAKARTA;;;
45436;1;2017;000;"KOPERASI PRABUNARA KEMENTRIAN BUMN";01.723.619.1.305.000;"Jl. Merdeka Selatan no. 13";;;
45435;1;2017;000;"PHILIA CITRA SEJAHTERA, PT";01.871.271.1-045.000;"Jl. Cipeucang II No.32 Koja Jakarta Utara";;;
45434;1;2017;000;"ASTRA GRAPHIA, PT";01.723.619.1.305.000;"JL KRAMAT RAYA NO 43";;;
45433;1;2017;000;"ASTRA GRAPHIA, PT";01.723.619.1.305.000;"JL KRAMAT RAYA NO 43";;;
45432;1;2017;000;"ASTRA GRAPHIA, PT";01.723.619.1.305.000;"JL KRAMAT RAYA NO 43";;;
45431;1;2017;000;"SM. Strategi SDM, Organisasi & Kesejahteraan";03.276.307.0-093.000;jakarta;;;
45430;1;2017;000;"PT LAPI DIVUSI";;"Jl.Kyai Gede Utama No.12";;;
45429;1;2017;000;"CONVERSINDO MITRA MANDIRI, CV.";;"Jl. Sultan Agung No.33/37 - Yogyakarta";;;
45428;1;2017;000;"CONVERSINDO MITRA MANDIRI, CV.";;"Jl. Sultan Agung No.33/37 - Yogyakarta";;;
45427;1;2017;000;"LEMBAGA STANDAR PROFESI DANA PENSIUN";;"Gedung Arthaloka Lt.6 Jl. Jend. Sudirman Kav.2 JakPus";;;
45426;1;2017;000;"ALISYA PRATAMA, CV.";;"Jl. Raya Cilincing No.11 A RT.002/003 - Jakarta Utara";;;
45425;1;2017;000;"ALISYA PRATAMA, CV.";;"Jl. Raya Cilincing No.11 A RT.002/003 - Jakarta Utara";;;
45424;1;2017;000;"ALISYA PRATAMA, CV.";;"Jl. Raya Cilincing No.11 A RT.002/003 - Jakarta Utara";;;
45423;1;2017;000;SWANETWORK;;"Jl. Taman Jati Baru Barat no. 16";;;
45422;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
