"Line Id";"Kode Lampiran";"Kode Transaksi";"Kode Status";"Kode Dokumen";"NPWP Lawan Transaksi";"Nama Lawan Transaksi";"Kode Cabang";"Digit Tahun";"No Seri FP / No Nota Retur";"Tanggal Faktur";"Masa Pajak";"Tahun Pajak";Pembetulan;"Tanggal Tagih";"Tanggal Setor PPN";"Tanggal Setor PPN BM";"Invoice Number";"Tanggal GL";"Mata Uang";"Jumlah DPP";"Jumlah PPN";"Jumlah PPN BM"
1172456;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 BANTEN 030.000.17-10.000134 31/03/2017";11/04/2017;IDR;2449796910;244979691;0
1172457;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 BANTEN 030.000.17-10.000135 31/03/2017";11/04/2017;IDR;467130830;46713083;0
1172458;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 BENGKULU 030.000.17-10.000136 31/03/2017";11/04/2017;IDR;417871090;41787109;0
1172459;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 BENGKULU 030.000.17-10.000137 31/03/2017";11/04/2017;IDR;266769510;26676951;0
1172460;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 CIREBON 030.000.17-10.000147 31/03/2017";11/04/2017;IDR;39091220;3909122;0
1172461;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 CIREBON 030.000.17-10.000148 31/03/2017";11/04/2017;IDR;155888870;15588887;0
1172462;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 PALEMBANG 030.000.17-10.000130 31/03/2017";11/04/2017;IDR;1867213420;186721342;0
1172463;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 PALEMBANG 030.000.17-10.000131 31/03/2017";11/04/2017;IDR;1958850410;195885041;0
1172464;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 PANJANG 030.000.17-10.000145 31/03/2017";11/04/2017;IDR;2483965640;248396564;0
1172465;2;;3;3;;;;;;;;;0;;;;" PT JASA ARMADA INDONESIA UM.330/17/07.3/MS-17 PANJANG 030.000.17-10.000146 31/03/2017";11/04/2017;IDR;587865560;58786556;0
